city,x,y,name,population,timezone,state,state_abbreviation,elevation,latitude,longitude,elevation_m,country_code
"Santa Ana, CA",5.252578977,-1.011397908,"Santa Ana, CA",335400,America/Los_Angeles,California,CA,35,33.74557,-117.86783,39,US
"Corpus Christi, TX",1.410838498,2.664433152,"Corpus Christi, TX",324074,America/Chicago,Texas,TX,2,27.80058,-97.39638,8,US
"Riverside, CA",4.417671392,-1.105383932,"Riverside, CA",322424,America/Los_Angeles,California,CA,252,33.95335,-117.39616,257,US
"St. Louis, MO",-1.419851804,-0.361268504,"St. Louis, MO",315685,America/Chicago,Missouri,MO,142,38.62727,-90.19789,149,US
"Stockton, CA",4.509671601,-1.137945025,"Stockton, CA",305658,America/Los_Angeles,California,CA,4,37.9577,-121.29078,6,US
"Pittsburgh, PA",-1.481906404,-1.373959095,"Pittsburgh, PA",304391,America/New_York,Pennsylvania,PA,233,40.44062,-79.99589,239,US
"Anchorage, AK",0.888854002,-0.097844718,"Anchorage, AK",298695,America/Anchorage,Alaska,AK,31,61.21806,-149.90028,16,US
"Cincinnati, OH",-1.542809546,-0.793000633,"Cincinnati, OH",296943,America/New_York,Ohio,OH,191,39.12711,-84.51439,213,US
"Meads, KY",-1.462856794,0.6968461,"Meads, KY",288649,America/New_York,Kentucky,KY,185,38.41258,-82.70905,188,US
"Ironville, KY",-1.611734037,0.659767886,"Ironville, KY",288649,America/New_York,Kentucky,KY,219,38.45647,-82.69238,221,US
"Henderson, NV",1.660356672,-0.255112564,"Henderson, NV",285667,America/Los_Angeles,Nevada,NV,569,36.0397,-114.98194,572,US
"Greensboro, NC",-1.501652373,2.894895175,"Greensboro, NC",285342,America/New_York,North Carolina,NC,266,36.07264,-79.79198,260,US
"Orlando, FL",0.885349648,1.753117377,"Orlando, FL",270934,America/New_York,Florida,FL,30,28.53834,-81.37924,54,US
"Chula Vista, CA",5.26798201,-1.104883518,"Chula Vista, CA",265757,America/Los_Angeles,California,CA,21,32.64005,-117.0842,21,US
"Chandler, AZ",1.723570042,-0.166170144,"Chandler, AZ",260828,America/Phoenix,Arizona,AZ,370,33.30616,-111.84125,368,US
"Fort Wayne, IN",-2.076535038,-1.721994505,"Fort Wayne, IN",260326,America/Indiana/Indianapolis,Indiana,IN,247,41.1306,-85.12886,250,US
"Durham, NC",-1.232165082,2.087202418,"Durham, NC",257636,America/New_York,North Carolina,NC,123,35.99403,-78.89862,121,US
"St. Petersburg, FL",0.907836272,2.105727025,"St. Petersburg, FL",257083,America/New_York,Florida,FL,13,27.77086,-82.67927,16,US
"Lubbock, TX",1.349698119,2.997455308,"Lubbock, TX",249042,America/Chicago,Texas,TX,976,33.57786,-101.85517,979,US
"Madison, WI",-1.51686662,-2.204110152,"Madison, WI",248951,America/Chicago,Wisconsin,WI,267,43.07305,-89.40123,272,US
"Gilbert, AZ",1.600572291,-0.445417458,"Gilbert, AZ",247542,America/Phoenix,Arizona,AZ,377,33.35283,-111.78903,377,US
"Louisville, KY",-2.137725272,1.204992078,"Louisville, KY",243639,America/Kentucky/Louisville,Kentucky,KY,142,38.25424,-85.75941,143,US
"Reno, NV",2.50276057,-0.719312242,"Reno, NV",241445,America/Los_Angeles,Nevada,NV,1373,39.52963,-119.8138,1380,US
"Glendale, AZ",2.39290736,-0.958524414,"Glendale, AZ",240126,America/Phoenix,Arizona,AZ,351,33.53865,-112.18599,350,US
"Hialeah, FL",0.842719496,1.919322175,"Hialeah, FL",237069,America/New_York,Florida,FL,2,25.8576,-80.27811,8,US
"Garland, TX",1.064482345,2.388749978,"Garland, TX",236897,America/Chicago,Texas,TX,168,32.91262,-96.63888,174,US
"Scottsdale, AZ",2.268632617,-0.594924199,"Scottsdale, AZ",236839,America/Phoenix,Arizona,AZ,383,33.50921,-111.89903,382,US
"Fremont, CA",4.429812009,-1.616410174,"Fremont, CA",232206,America/Los_Angeles,California,CA,17,37.54827,-121.98857,18,US
"Baton Rouge, LA",1.304500185,1.825027274,"Baton Rouge, LA",228590,America/Chicago,Louisiana,LA,14,30.45075,-91.15455,20,US
"Lexington, KY",-2.107717368,1.306404553,"Lexington, KY",225366,America/New_York,Kentucky,KY,295,37.98869,-84.47772,298,US
"Paradise, NV",2.230564648,-0.833942693,"Paradise, NV",223167,America/Los_Angeles,Nevada,NV,627,36.09719,-115.14666,629,US
"San Bernardino, CA",5.107873276,-1.203946832,"San Bernardino, CA",216108,America/Los_Angeles,California,CA,321,34.10834,-117.28977,324,US
"Spokane, WA",1.043020999,-0.807651632,"Spokane, WA",213272,America/Los_Angeles,Washington,WA,571,47.65966,-117.42908,530,US
"Birmingham, AL",-0.734332069,3.192950089,"Birmingham, AL",212461,America/Chicago,Alabama,AL,187,33.52066,-86.80249,187,US
"Modesto, CA",4.897328999,-1.108770424,"Modesto, CA",211266,America/Los_Angeles,California,CA,28,37.6391,-120.99688,29,US
"Des Moines, IA",-1.430878882,-1.591661362,"Des Moines, IA",210330,America/Chicago,Iowa,IA,266,41.60054,-93.60911,264,US
"Tacoma, WA",1.14573399,-0.534062495,"Tacoma, WA",207948,America/Los_Angeles,Washington,WA,74,47.25288,-122.44429,74,US
"Fontana, CA",4.553461544,-1.179521401,"Fontana, CA",207460,America/Los_Angeles,California,CA,377,34.09223,-117.43505,378,US
"Oxnard, CA",5.320043254,-0.949354755,"Oxnard, CA",207254,America/Los_Angeles,California,CA,16,34.1975,-119.17705,19,US
"Moreno Valley, CA",5.203854252,-0.707408953,"Moreno Valley, CA",204198,America/Los_Angeles,California,CA,497,33.93752,-117.23059,499,US
"Fayetteville, NC",-1.691136546,3.090767579,"Fayetteville, NC",201963,America/New_York,North Carolina,NC,29,35.05266,-78.87836,33,US
"Huntington Beach, CA",5.205289688,-0.857162908,"Huntington Beach, CA",201899,America/Los_Angeles,California,CA,12,33.6603,-117.99923,16,US
"Glendale, CA",4.600484376,-1.471923486,"Glendale, CA",201020,America/Los_Angeles,California,CA,159,34.14251,-118.25508,161,US
"Aurora, IL",-1.946963042,-2.721047546,"Aurora, IL",200661,America/Chicago,Illinois,IL,207,41.76058,-88.32007,210,US
"Montgomery, AL",-0.696799749,2.692721862,"Montgomery, AL",200602,America/Chicago,Alabama,AL,73,32.36681,-86.29997,76,US
"Columbus, GA",-1.045939802,1.792781738,"Columbus, GA",200579,America/New_York,Georgia,GA,82,32.46098,-84.98771,75,US
"Amarillo, TX",1.466159203,2.752314797,"Amarillo, TX",198645,America/Chicago,Texas,TX,1118,35.222,-101.8313,1124,US
"Little Rock, AR",-0.915657204,2.438781292,"Little Rock, AR",197992,America/Chicago,Arkansas,AR,102,34.74648,-92.28959,105,US
"Shreveport, LA",1.364793269,1.990994165,"Shreveport, LA",197204,America/Chicago,Louisiana,LA,44,32.52515,-93.75018,50,US
"Mobile, AL",-0.354500144,3.133739274,"Mobile, AL",194288,America/Chicago,Alabama,AL,3,30.69436,-88.04305,12,US
"Salt Lake City, UT",1.489582718,0.841176775,"Salt Lake City, UT",192672,America/Denver,Utah,UT,1299,40.76078,-111.89105,1311,US
"Huntsville, AL",-0.827322771,3.718877124,"Huntsville, AL",190582,America/Chicago,Alabama,AL,193,34.7304,-86.58594,187,US
"Tallahassee, FL",0.543952093,2.470042131,"Tallahassee, FL",189907,America/New_York,Florida,FL,62,30.43826,-84.28073,71,US
"Grand Prairie, TX",1.224922803,2.690050549,"Grand Prairie, TX",187809,America/Chicago,Texas,TX,157,32.74596,-96.99778,162,US
"Oxnard Shores, CA",4.363097527,-0.909649818,"Oxnard Shores, CA",187235,America/Los_Angeles,California,CA,3,34.19084,-119.2415,7,US
"Overland Park, KS",-0.659864284,-0.389592951,"Overland Park, KS",186515,America/Chicago,Kansas,KS,329,38.98223,-94.67079,335,US
"Knoxville, TN",-1.477737715,2.748372364,"Knoxville, TN",185291,America/New_York,Tennessee,TN,276,35.96064,-83.92074,277,US
"Brownsville, TX",1.217585266,2.335998167,"Brownsville, TX",183887,America/Chicago,Texas,TX,10,25.90175,-97.49748,17,US
"Santa Clarita, CA",5.479879379,-0.862088069,"Santa Clarita, CA",182371,America/Los_Angeles,California,CA,368,34.39166,-118.54259,368,US
"Providence, RI",-0.30043263,-0.939718817,"Providence, RI",179207,America/New_York,Rhode Island,RI,2,41.82399,-71.41283,-17,US
"Fort Lauderdale, FL",1.167298308,1.778553557,"Fort Lauderdale, FL",178590,America/New_York,Florida,FL,1,26.12231,-80.14338,20,US
"Chattanooga, TN",-1.508759539,3.150630656,"Chattanooga, TN",176588,America/New_York,Tennessee,TN,206,35.04563,-85.30968,208,US
"Tempe, AZ",2.274222129,-0.44476157,"Tempe, AZ",175826,America/Phoenix,Arizona,AZ,360,33.41477,-111.90931,360,US
"Oceanside, CA",5.162255522,-1.004725416,"Oceanside, CA",175691,America/Los_Angeles,California,CA,20,33.19587,-117.37948,24,US
"Garden Grove, CA",5.165139989,-1.053546333,"Garden Grove, CA",175393,America/Los_Angeles,California,CA,27,33.77391,-117.94145,26,US
"Rancho Cucamonga, CA",5.064150444,-1.112400494,"Rancho Cucamonga, CA",175236,America/Los_Angeles,California,CA,368,34.1064,-117.59311,371,US
"Cape Coral, FL",0.965967604,1.809479934,"Cape Coral, FL",175229,America/New_York,Florida,FL,1,26.56285,-81.94953,6,US
"Santa Rosa, CA",5.091830855,-0.64018305,"Santa Rosa, CA",174972,America/Los_Angeles,California,CA,50,38.44047,-122.71443,55,US
"Vancouver, WA",1.366585117,-0.597020746,"Vancouver, WA",172860,America/Los_Angeles,Washington,WA,52,45.63873,-122.66149,57,US
"Sioux Falls, SD",-0.651892642,-1.5832611,"Sioux Falls, SD",171544,America/Chicago,South Dakota,SD,448,43.54997,-96.70033,449,US
"Peoria, AZ",0.853115328,-0.983940004,"Peoria, AZ",171237,America/Phoenix,Arizona,AZ,348,33.5806,-112.23738,347,US
"Ontario, CA",3.772241055,-1.515654283,"Ontario, CA",171214,America/Los_Angeles,California,CA,306,34.06334,-117.65089,307,US
"Jackson, MS",-0.212515927,1.166675972,"Jackson, MS",170674,America/Chicago,Mississippi,MS,85,32.29876,-90.18481,100,US
"Hollywood, CA",4.462168803,-0.860175324,"Hollywood, CA",167664,America/Los_Angeles,California,CA,108,34.09834,-118.32674,113,US
"Elk Grove, CA",4.363197393,-1.858727247,"Elk Grove, CA",166913,America/Los_Angeles,California,CA,14,38.4088,-121.37162,17,US
"Springfield, MO",-1.87064929,-0.805626094,"Springfield, MO",166810,America/Chicago,Missouri,MO,396,37.21533,-93.29824,399,US
"Pembroke Pines, FL",1.147179037,1.772202003,"Pembroke Pines, FL",166611,America/New_York,Florida,FL,2,26.00315,-80.22394,10,US
"Salem, OR",0.426232844,-0.662127243,"Salem, OR",164549,America/Los_Angeles,Oregon,OR,49,44.9429,-123.0351,55,US
"Corona, CA",4.945991888,-1.013069557,"Corona, CA",164226,America/Los_Angeles,California,CA,207,33.87529,-117.56644,213,US
"Eugene, OR",0.827407607,-0.540198419,"Eugene, OR",163460,America/Los_Angeles,Oregon,OR,131,44.05207,-123.08675,132,US
"Fort Collins, CO",1.463453752,-1.374741673,"Fort Collins, CO",161175,America/Denver,Colorado,CO,1525,40.58526,-105.08442,1531,US
"Lancaster, CA",3.537467004,-1.089513057,"Lancaster, CA",161103,America/Los_Angeles,California,CA,719,34.69804,-118.13674,718,US
"Cary, NC",-1.065348255,2.035261611,"Cary, NC",159769,America/New_York,North Carolina,NC,152,35.79154,-78.78112,152,US
"Palmdale, CA",5.138911761,-0.639056066,"Palmdale, CA",158351,America/Los_Angeles,California,CA,810,34.57943,-118.11646,815,US
"Hayward, CA",4.495467389,-1.390668073,"Hayward, CA",158289,America/Los_Angeles,California,CA,34,37.66882,-122.0808,32,US
"Salinas, CA",5.028177803,-0.97670553,"Salinas, CA",157380,America/Los_Angeles,California,CA,16,36.67774,-121.6555,17,US
"Frisco, TX",1.419768997,2.703451264,"Frisco, TX",154407,America/Chicago,Texas,TX,212,33.15067,-96.82361,216,US
"Springfield, MA",-0.759775501,-2.116282728,"Springfield, MA",154341,America/New_York,Massachusetts,MA,25,42.10148,-72.58981,49,US
"Pomona, CA",4.826860879,-1.279229712,"Pomona, CA",153266,America/Los_Angeles,California,CA,259,34.05529,-117.75228,264,US
"Lakewood, CO",1.253053207,-0.905726268,"Lakewood, CO",152597,America/Denver,Colorado,CO,1682,39.70471,-105.08137,1682,US
"Sunnyvale, CA",4.967919146,-0.987829947,"Sunnyvale, CA",151754,America/Los_Angeles,California,CA,39,37.36883,-122.03635,37,US
"Escondido, CA",5.185527722,-1.145747966,"Escondido, CA",151451,America/Los_Angeles,California,CA,197,33.11921,-117.08642,199,US
"Kansas City, KS",-0.810255016,-0.200583201,"Kansas City, KS",151306,America/Chicago,Kansas,KS,266,39.11417,-94.62746,272,US
"Hollywood, FL",1.514336447,1.271651562,"Hollywood, FL",149728,America/New_York,Florida,FL,3,26.0112,-80.14949,10,US
"Clarksville, TN",-1.867525556,2.664659836,"Clarksville, TN",149176,America/Chicago,Tennessee,TN,145,36.52977,-87.35945,145,US
"Torrance, CA",4.859871998,-0.839757871,"Torrance, CA",148475,America/Los_Angeles,California,CA,27,33.83585,-118.34063,33,US
"Rockford, IL",-2.48051859,-2.654490045,"Rockford, IL",148278,America/Chicago,Illinois,IL,218,42.27113,-89.094,224,US
"Joliet, IL",-2.492093029,-2.839178385,"Joliet, IL",147861,America/Chicago,Illinois,IL,165,41.52519,-88.0834,167,US
"Bridgeport, CT",-0.474194858,-0.977865328,"Bridgeport, CT",147629,America/New_York,Connecticut,CT,1,41.16704,-73.20483,5,US
"Naperville, IL",-2.291389703,-2.845655937,"Naperville, IL",147100,America/Chicago,Illinois,IL,216,41.78586,-88.14729,217,US
"Boise, ID",1.263370256,0.069061371,"Boise, ID",145987,America/Boise,Idaho,ID,823,43.6135,-116.20345,834,US
"Savannah, GA",-0.919528269,2.718317455,"Savannah, GA",145674,America/New_York,Georgia,GA,6,32.08354,-81.09983,9,US
"Pasadena, CA",4.954561363,-0.82415161,"Pasadena, CA",142250,America/Los_Angeles,California,CA,263,34.14778,-118.14452,272,US
"Orange, CA",4.397399636,-0.693342955,"Orange, CA",140992,America/Los_Angeles,California,CA,58,33.78779,-117.85311,61,US
"Fullerton, CA",4.59372015,-1.086014506,"Fullerton, CA",140847,America/Los_Angeles,California,CA,50,33.87029,-117.92534,52,US
"Dayton, OH",-1.619043562,-0.973848203,"Dayton, OH",140599,America/New_York,Ohio,OH,225,39.75895,-84.19161,237,US
"Bellevue, WA",0.654111705,-0.941705252,"Bellevue, WA",139820,America/Los_Angeles,Washington,WA,26,47.61038,-122.20068,28,US
"Metairie, LA",1.631300588,1.24001234,"Metairie, LA",138481,America/Chicago,Louisiana,LA,1,29.98409,-90.15285,9,US
"Miramar, FL",1.79779507,1.570722054,"Miramar, FL",137132,America/New_York,Florida,FL,2,25.98731,-80.23227,8,US
"Olathe, KS",-0.805301708,-0.155224513,"Olathe, KS",134305,America/Chicago,Kansas,KS,315,38.8814,-94.81913,324,US
"Columbia, SC",-0.692662727,1.562313287,"Columbia, SC",133803,America/New_York,South Carolina,SC,89,34.00071,-81.03481,97,US
"Thornton, CO",1.23163338,-0.767273371,"Thornton, CO",133451,America/Denver,Colorado,CO,1631,39.86804,-104.97192,1635,US
"Carrollton, TX",0.360950468,2.714716627,"Carrollton, TX",133168,America/Chicago,Texas,TX,161,32.95373,-96.89028,163,US
"Midland, TX",0.986314993,2.191850137,"Midland, TX",132950,America/Chicago,Texas,TX,848,31.99735,-102.07791,862,US
"Charleston, SC",-1.109613044,2.315596044,"Charleston, SC",132609,America/New_York,South Carolina,SC,6,32.77657,-79.93092,13,US
"Denton, TX",1.161312179,2.547708404,"Denton, TX",131044,America/Chicago,Texas,TX,201,33.21484,-97.13307,206,US
"Cedar Rapids, IA",-1.708644481,-1.690224243,"Cedar Rapids, IA",130405,America/Chicago,Iowa,IA,247,42.00833,-91.64407,251,US
"Roseville, CA",4.546148667,-1.568417459,"Roseville, CA",130269,America/Los_Angeles,California,CA,50,38.75212,-121.28801,51,US
"Gainesville, FL",0.494210955,2.660563423,"Gainesville, FL",130128,America/New_York,Florida,FL,54,29.65163,-82.32483,37,US
"Coral Springs, FL",1.062243111,1.725905871,"Coral Springs, FL",129485,America/New_York,Florida,FL,3,26.27119,-80.2706,4,US
"Thousand Oaks, CA",5.19368778,-1.276004146,"Thousand Oaks, CA",129339,America/Los_Angeles,California,CA,270,34.17056,-118.83759,274,US
"Concord, CA",3.802176459,-1.036757142,"Concord, CA",128667,America/Los_Angeles,California,CA,23,37.97798,-122.03107,25,US
"Surprise, AZ",1.83542972,-0.445294278,"Surprise, AZ",128422,America/Phoenix,Arizona,AZ,358,33.63059,-112.33322,357,US
"Lafayette, LA",1.006078314,0.710213425,"Lafayette, LA",127657,America/Chicago,Louisiana,LA,11,30.22409,-92.01984,15,US
"Topeka, KS",-0.841403964,-0.107489276,"Topeka, KS",127265,America/Chicago,Kansas,KS,288,39.04833,-95.67804,306,US
"Kent, WA",0.424099819,-0.857357212,"Kent, WA",126952,America/Los_Angeles,Washington,WA,13,47.38093,-122.23484,14,US
"Simi Valley, CA",5.229782651,-1.062380173,"Simi Valley, CA",126788,America/Los_Angeles,California,CA,234,34.26945,-118.78148,236,US
"Santa Clara, CA",5.109148667,-1.350948267,"Santa Clara, CA",126215,America/Los_Angeles,California,CA,23,37.35411,-121.95524,22,US
"Murfreesboro, TN",-1.507280642,3.099492595,"Murfreesboro, TN",126118,America/Chicago,Tennessee,TN,186,35.84562,-86.39027,191,US
"Abilene, TX",1.096445144,2.773622526,"Abilene, TX",121721,America/Chicago,Texas,TX,524,32.44874,-99.73314,525,US
"Berkeley, CA",4.703124816,-1.124403162,"Berkeley, CA",120972,America/Los_Angeles,California,CA,52,37.87159,-122.27275,55,US
"Norman, OK",0.243339523,0.97085155,"Norman, OK",120284,America/Chicago,Oklahoma,OK,357,35.22257,-97.43948,361,US
"Evansville, IN",-2.462192558,-1.473395014,"Evansville, IN",119943,America/Chicago,Indiana,IN,118,37.97476,-87.55585,118,US
"Columbia, MO",-1.31371718,-0.108962289,"Columbia, MO",119108,America/Chicago,Missouri,MO,215,38.95171,-92.33407,219,US
"Odessa, TX",1.242117975,2.696964333,"Odessa, TX",118968,America/Chicago,Texas,TX,884,31.84568,-102.36764,885,US
"Beaumont, TX",1.551960136,2.29020205,"Beaumont, TX",118129,America/Chicago,Texas,TX,5,30.08605,-94.10185,12,US
"Independence, MO",-1.334469895,-0.257953215,"Independence, MO",117255,America/Chicago,Missouri,MO,315,39.09112,-94.41551,319,US
"El Monte, CA",5.192143838,-0.970308786,"El Monte, CA",116732,America/Los_Angeles,California,CA,91,34.06862,-118.02757,91,US
"Athens, GA",-0.855146363,2.315453581,"Athens, GA",116714,America/New_York,Georgia,GA,228,33.96095,-83.37794,232,US
"Springfield, IL",-2.59783243,-2.484046796,"Springfield, IL",116565,America/Chicago,Illinois,IL,182,39.80172,-89.64371,184,US
"Wilmington, NC",-1.368606032,1.865514644,"Wilmington, NC",115933,America/New_York,North Carolina,NC,9,34.22573,-77.94471,14,US
"Arvada, CO",1.364548129,-1.263526001,"Arvada, CO",115368,America/Denver,Colorado,CO,1629,39.80276,-105.08748,1637,US
"Provo, UT",1.541574503,0.920055532,"Provo, UT",115264,America/Denver,Utah,UT,1387,40.23384,-111.65853,1394,US
"Peoria, IL",-2.373052412,-2.527032252,"Peoria, IL",115070,America/Chicago,Illinois,IL,153,40.69365,-89.58899,165,US
"Downey, CA",4.26158635,-0.895238241,"Downey, CA",114219,America/Los_Angeles,California,CA,36,33.94001,-118.13257,41,US
"Carlsbad, CA",5.271129657,-0.731667319,"Carlsbad, CA",113453,America/Los_Angeles,California,CA,16,33.15809,-117.35059,18,US
"Costa Mesa, CA",5.19401337,-1.112969019,"Costa Mesa, CA",113204,America/Los_Angeles,California,CA,30,33.64113,-117.91867,33,US
"Westminster, CO",1.189094601,-1.15135114,"Westminster, CO",113130,America/Denver,Colorado,CO,1641,39.83665,-105.0372,1644,US
"Clearwater, FL",0.893208378,1.627741136,"Clearwater, FL",113003,America/New_York,Florida,FL,9,27.96585,-82.8001,15,US
"Fairfield, CA",3.510659606,-1.198924179,"Fairfield, CA",112970,America/Los_Angeles,California,CA,4,38.24936,-122.03997,4,US
"Elgin, IL",-2.258325298,-2.312447159,"Elgin, IL",112111,America/Chicago,Illinois,IL,227,42.03725,-88.28119,229,US
"Temecula, CA",5.206190548,-1.02268123,"Temecula, CA",112011,America/Los_Angeles,California,CA,310,33.49364,-117.14836,308,US
"Inglewood, CA",4.874566354,-0.996976299,"Inglewood, CA",111666,America/Los_Angeles,California,CA,40,33.96168,-118.35313,44,US
"Lowell, MA",-0.046798739,-1.844367348,"Lowell, MA",110699,America/New_York,Massachusetts,MA,36,42.63342,-71.31617,39,US
"Gresham, OR",0.843316069,-0.184678634,"Gresham, OR",110553,America/Los_Angeles,Oregon,OR,97,45.49818,-122.43148,96,US
"Antioch, CA",4.01992521,-1.255547705,"Antioch, CA",110542,America/Los_Angeles,California,CA,13,38.00492,-121.80579,13,US
"Cambridge, MA",-0.157453478,-2.080094173,"Cambridge, MA",110402,America/New_York,Massachusetts,MA,5,42.3751,-71.10561,13,US
"Billings, MT",0.60160964,-0.671999623,"Billings, MT",110263,America/Denver,Montana,MT,952,45.78329,-108.50069,954,US
